userID,PlaceID,predicted_rating
U1003,Place 135065,1.946153846
U1003,Place 135035,0.038461538
U1003,Place 132754,0.038461538
U1003,Place 132755,0.038461538
U1003,Place 132955,0.038461538
U1003,Place 132954,1.9
U1003,Place 132951,0.944822485
U1003,Place 135059,1.477327935
U1003,Place 132825,1.424696356
U1003,Place 132937,1.315929204
U1006,Place 132875,0.961538462
U1006,Place 135049,0.038461538
U1006,Place 135065,1.946153846
U1006,Place 135072,0.038461538
U1006,Place 135035,0.038461538
U1006,Place 132937,1.315929204
U1006,Place 132755,0.038461538
U1006,Place 132884,0.038461538
U1006,Place 135034,0.038461538
U1009,Place 132755,0.038461538
U1009,Place 132856,0.038461538
U1009,Place 135059,1.477327935
U1009,Place 135062,1.263499246
U1009,Place 132937,1.315929204
U1009,Place 135052,1.263499246
U1009,Place 132862,1.449120879
U1009,Place 135051,0.9
U1009,Place 135027,0.038461538
U1016,Place 135052,1.263499246
U1016,Place 135066,0.038461538
U1016,Place 135064,0.038461538
U1016,Place 135062,1.263499246
U1016,Place 135060,0.930769231
U1016,Place 135059,1.477327935
U1016,Place 135038,0.038461538
U1016,Place 132885,0.038461538
U1016,Place 132825,1.424696356
U1022,Place 135052,1.263499246
U1022,Place 135027,0.038461538
U1022,Place 135047,0.969230769
U1022,Place 135050,0.038461538
U1022,Place 135051,0.9
U1022,Place 132830,0.038461538
U1022,Place 135039,0.038461538
U1022,Place 135057,0.038461538
U1022,Place 135062,1.263499246
U1022,Place 135063,0.930769231
U1024,Place 135045,1.930769231
U1024,Place 135039,0.038461538
U1024,Place 132856,0.038461538
U1024,Place 135042,0.961538462
U1024,Place 135025,1.9
U1024,Place 135033,0.038461538
U1024,Place 135052,1.263499246
U1024,Place 132885,0.038461538
U1024,Place 135063,0.930769231
U1024,Place 135062,1.263499246
U1033,Place 135064,0.038461538
U1033,Place 135055,0.038461538
U1033,Place 132951,0.944822485
U1033,Place 132825,1.424696356
U1033,Place 132937,1.315929204
U1033,Place 135059,1.477327935
U1033,Place 132955,0.038461538
U1033,Place 132958,0.038461538
U1033,Place 132754,0.038461538
U1036,Place 135053,0.038461538
U1036,Place 135044,0.946153846
U1036,Place 132754,0.038461538
U1036,Place 132755,0.038461538
U1036,Place 135060,0.930769231
U1036,Place 135059,1.477327935
U1036,Place 135058,1.946153846
U1036,Place 132937,1.315929204
U1036,Place 132825,1.424696356
U1036,Place 135055,0.038461538
U1053,Place 135053,0.038461538
U1053,Place 135063,0.930769231
U1053,Place 135070,0.038461538
U1053,Place 135032,0.038461538
U1053,Place 135058,1.946153846
U1053,Place 135073,0.038461538
U1053,Place 135057,0.038461538
U1053,Place 135033,0.038461538
U1053,Place 135051,0.9
U1054,Place 135052,1.263499246
U1054,Place 135073,0.038461538
U1054,Place 135045,1.930769231
U1054,Place 135051,0.9
U1054,Place 132862,1.449120879
U1054,Place 132825,1.424696356
U1054,Place 135041,1.930769231
U1054,Place 135039,0.038461538
U1054,Place 135060,0.930769231
U1054,Place 135062,1.263499246
U1071,Place 135052,1.263499246
U1071,Place 135033,0.038461538
U1071,Place 132856,0.038461538
U1071,Place 132862,1.449120879
U1071,Place 135045,1.930769231
U1071,Place 135051,0.9
U1071,Place 132825,1.424696356
U1071,Place 135042,0.961538462
U1071,Place 135041,1.930769231
U1071,Place 135039,0.038461538
U1075,Place 132872,0.961538462
U1075,Place 135066,0.038461538
U1075,Place 135030,0.038461538
U1075,Place 135028,0.038461538
U1075,Place 135057,0.038461538
U1075,Place 135076,0.038461538
U1075,Place 135055,0.038461538
U1075,Place 135025,1.9
U1075,Place 135053,0.038461538
U1075,Place 135082,0.038461538
U1104,Place 135079,1
U1104,Place 135085,1.290366643
U1104,Place 135032,0.038461538
U1104,Place 132856,0.038461538
U1104,Place 135030,0.038461538
U1104,Place 135064,0.038461538
U1104,Place 135042,0.961538462
U1104,Place 132862,1.449120879
U1104,Place 135028,0.038461538
U1104,Place 135063,0.930769231
U1106,Place 135063,0.930769231
U1106,Place 135064,0.038461538
U1106,Place 132872,0.961538462
U1106,Place 135062,1.263499246
U1106,Place 132754,0.038461538
U1106,Place 135059,1.477327935
U1106,Place 135055,0.038461538
U1106,Place 132825,1.424696356
U1106,Place 132834,1
U1137,Place 135025,1.9
U1137,Place 135046,0.038461538
U1137,Place 132755,0.038461538
U1137,Place 132955,0.038461538
U1137,Place 135044,0.946153846
U1137,Place 135059,1.477327935
U1137,Place 132825,1.424696356
U1137,Place 132951,0.944822485
U1137,Place 132834,1
U1137,Place 132937,1.315929204
